Marka,Model,Paket,Yil,KM,Fiyat
Seat,Leon,İLK SAHİBİNDEN - 2020 - 74 BİN KM - HATASIZ - FULL YAPILI,2020,74000,1670000
Seat,Leon,HATASIZ BOYASIZ TRAMERSİZ FR DÜŞÜK KM,2016,125000,1385000
Seat,Leon,2012-LEON FR-HATASIZ-SANRU­F-MERCEK-H.SBT-K.­AYN-BODYKİT-ACİL,2012,234000,820000
Seat,Leon,,,0,0
Seat,Leon,0-79'Dan BASLAYAN FAİZ ORANI İLE 12-24-36 AY KREDİ İMKANI,2020,16000,1559000
Seat,Leon,HATASIZ ÖZEL FR PLAKALI,2019,175000,1375000
Seat,Leon,İLK SAHİBİNDEN 1.6 TDİ YETKİLİ SERVİS BAKIMLI BÜYÜK EKRAN DSG,2017,138500,1285000
Seat,Leon,2017 BOYASIZ SEAT LEON 1.0 EcoTSI 115 HP CAM TAVAN LED FR,2017,105000,1415000
Seat,Leon,DEĞİŞENSİZ-­HATASIZ-CAM TAVANLI,2016,182000,1135000
Seat,Leon,JOKER MOTORS'DAN SEAT LEON FR 1.4 TSİ + WAREX EGZOZ,2016,156000,1230000
Seat,Leon,OĞUZ GRUPDAN 2010 MODEL 125 HP DEĞİŞENSİZ 189.000 KM MASRAFSIZ,2010,189000,565000
Seat,Leon,2019 SEAT LEON 1.6 TDİ DSG STYLE HATASIZ DEĞİŞENSİZ SIFIR GİBİ,2019,180000,1225000
Seat,Leon,BAREM CARS BOYASIZ DEĞİŞENSİZ CAM TAVAN HAYALET GERİ GÖRÜŞ,2018,196360,1429000
Seat,Leon,HATASIZ BOYASIZ TRAMERSİZ 1 4 ECO TSİ FR OTOMATİK ALOR MAVİ,2015,183000,1325000
Seat,Leon,0-79'Dan BASLAYAN FAİZ ORANI İLE 12-24-36 AY KREDİ İMKANI,2015,189000,1249000
Seat,Leon,MUR-CAR//DEĞİŞ­ENSİZ/BOYASIZ /TRAMERSİZ/ORJ FR KIRMIZI/PAZARLIKSIZ,2020,169000,1299999
Seat,Leon,HATASIZ*CAM TAVAN*2018 SEAT LEON G.GÖRÜŞ*CAR PLAY*LANSMAN RENK*,2018,153000,1399750
Seat,Leon,2015 SEAT LEON 1.6 TDİ STYLE DSG 139.000 KM BAKIMLI,2015,139000,1099000
Seat,Leon,KAYA AUTO DAN HASTASINA YAPILI LEON FR DÜŞÜK KM !!!,2017,95000,1545000
Seat,Leon,Eurolig Orjinal Değişensiz Boyasız FR Chilli Kırmızı 150 ACT DSG,2016,169000,1418000
Seat,Leon,İBİŞ AUTO 2013 MODEL SEAT LEON 1.6 DİZEL OTAMATİK,2013,255000,765000
